Fixture,Optics,Wattage,Unit,Circuit,Channel,Groups,Patch,DMX Mode,DMX Channels,Layer,Focus,Filters,Gobos,Accessories,Purpose,Note,Weight,Location,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Focus Pan,Focus Tilt,Invert Pan,Pan Start Limit,Pan End Limit,Invert Tilt,Tilt Start Limit,Tilt End Limit,Identifier,External Identifier
Generic Par 38,Spot/120W/24V,120W,,A,0,,1.6,Control,1,Par 38/Elipsoidal,,,,,,,1.8lbs,,-4.19',15.86',17.67',-0°,0°,0°,0°,0°,No,,,No,,,b1b9751a-bee7-4cac-8e2e-a0831801c99d,
Chauvet Ovation E-910FC,14°,234W,,H,0,,10.17,15 Channel Rev.1,15,Par 38/Elipsoidal,,,,,,,29.3lbs,,27.04',12.37',90',-0°,0°,0°,0°,0°,No,,,No,,,920b6b45-708a-45aa-84b0-e980e23eb219,
Chauvet Ovation E-910FC,14°,234W,,H,0,,10.1,15 Channel Rev.1,15,Par 38/Elipsoidal,,,,,,,29.3lbs,,27.99',12.37',90',-0°,0°,0°,0°,0°,No,,,No,,,30df3eb6-1014-482f-a90c-e2d6a23ae4e1,
Chauvet Ovation E-910FC,14°,234W,,H,0,,10.49,15 Channel Rev.1,15,Par 38/Elipsoidal,,,,,,,29.3lbs,,24.72',8.94',49.57',-0°,0°,0°,0°,0°,No,,,No,,,a3f41209-28cd-4a50-b5bc-41ed12e912bc,
Chauvet Ovation E-910FC,14°,234W,,H,0,,10.33,15 Channel Rev.1,15,Par 38/Elipsoidal,,,,,,,29.3lbs,,25.74',8.94',49.57',-0°,0°,0°,0°,0°,No,,,No,,,ee91dd62-e4d3-4c61-87c3-fb1ff69efcdc,
Chauvet Ovation E-910FC,14°,234W,,G,0,,9.17,15 Channel Rev.1,15,Par 38/Elipsoidal,,,,,,,29.3lbs,,-27.04',12.37',90',-0°,0°,0°,0°,0°,No,,,No,,,d624b9ad-d0ef-45e6-91cb-f796f60821f8,
Chauvet Ovation E-910FC,14°,234W,,G,0,,9.1,15 Channel Rev.1,15,Par 38/Elipsoidal,,,,,,,29.3lbs,,-27.99',12.37',90',-0°,0°,0°,0°,0°,No,,,No,,,2acb15dc-c1b6-4f28-bd14-5dcfe80e9636,
Chauvet Ovation E-910FC,14°,234W,,G,0,,9.33,15 Channel Rev.1,15,Par 38/Elipsoidal,,,,,,,29.3lbs,,-25.99',8.94',49.57',-0°,0°,0°,0°,0°,No,,,No,,,8aa326c7-6283-42cb-8c9e-1cd35c237378,
Chauvet Ovation E-910FC,14°,234W,,G,0,,9.49,15 Channel Rev.1,15,Par 38/Elipsoidal,,,,,,,29.3lbs,,-24.54',8.94',49.57',-0°,0°,0°,0°,0°,No,,,No,,,e96edb23-6843-44ba-adff-f2685f56ed38,
Blizzard Lighting HotBox RGBA,30°,47W,,F,0,,6.1,8 Channel Mode,8,Hotbox RGBW,,,,,,,3.5lbs,,7.44',6.04',-0.19',-90°,0°,0°,-180°,90°,No,,,No,,,c12b8399-9dcb-4b18-8247-e803fc46cefc,
