Fixture,Optics,Wattage,Unit,Circuit,Channel,Groups,Patch,DMX Mode,DMX Channels,Layer,Focus,Filters,Gobos,Accessories,Purpose,Note,Weight,Location,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Focus Pan,Focus Tilt,Invert Pan,Pan Start Limit,Pan End Limit,Invert Tilt,Tilt Start Limit,Tilt End Limit,Identifier,External Identifier
Elation Smarty Max,Beam Mode,700W,,,0,,,Standard,27,Fixture Spots,,,,,,Substitute with LED hybrid/beam,59.9lbs,,"24.81""","216.30""","-47.90""",0°,-90.0°,0.0°,89°,0°,No,0°,0°,No,0°,0°,7fd80833-f3d9-4636-8686-db22a1b48870,
Martin MAC Aura,11.4° - 59°,218W,,,0,,,Standard,14,Fixture Washes,,,,,,Substitute with any wash,12.3lbs,,"70.21""","204.13""","-47.90""",0°,-90.0°,-0.0°,0°,0°,No,0°,0°,No,0°,0°,4306c3c9-be7a-4f49-9cda-4c089c5e53cf,
Elation SixPar 200,36°,150W,,,0,,,6 Channel,6,Fixture Warmers Flown,,,,,,Substitue with any LED par that fits in Christie type B truss,10.8lbs,,"8.05""","220.79""","-47.90""",0°,0°,75.0°,-270°,75°,No,,,No,,,a5e63a01-6eb2-4242-833e-3a28f701068a,
Elation Smarty Max,Beam Mode,700W,,,0,,,Standard,27,Fixture Spots,,,,,,Substitute with LED hybrid/beam,59.9lbs,,"115.60""","191.97""","-47.90""",0°,-90.0°,0.0°,89°,0°,No,0°,0°,No,0°,0°,c656de6d-8726-4ab1-89f3-0f656bfc0648,
Martin MAC Aura,11.4° - 59°,218W,,,0,,,Standard,14,Fixture Washes,,,,,,Substitute with any wash,12.3lbs,,"161.00""","179.81""","-47.90""",0°,-90.0°,-0.0°,0°,0°,No,0°,0°,No,0°,0°,a31e05b6-2683-47ad-955f-66eed3b1a122,
Elation SixPar 200,36°,150W,,,0,,,6 Channel,6,Fixture Warmers Flown,,,,,,Substitue with any LED par that fits in Christie type B truss,10.8lbs,,"98.85""","196.46""","-47.90""",0°,0°,75.0°,-270°,75°,No,,,No,,,95030c00-56d0-4f04-a236-c12f4ab1c74b,
Elation Smarty Max,Beam Mode,700W,,,0,,,Standard,27,Fixture Spots,,,,,,Substitute with LED hybrid/beam,59.9lbs,,"206.40""","167.64""","-47.90""",0°,-90.0°,0.0°,89°,0°,No,0°,0°,No,0°,0°,9bacaa44-cdb5-478b-9b7e-e6895743662c,
Martin MAC Aura,11.4° - 59°,218W,,,0,,,Standard,14,Fixture Washes,,,,,,Substitute with any wash,12.3lbs,,"251.80""","155.48""","-47.90""",0°,-90.0°,-0.0°,0°,0°,No,0°,0°,No,0°,0°,d9a53524-0b29-45ce-9f47-04d91f61cd59,
Elation SixPar 200,36°,150W,,,0,,,6 Channel,6,Fixture Warmers Flown,,,,,,Substitue with any LED par that fits in Christie type B truss,10.8lbs,,"189.65""","172.13""","-47.90""",0°,0°,75.0°,-270°,75°,No,,,No,,,ffe20802-249b-4b7d-8ee6-fd0273b4fb35,
Elation Smarty Max,Beam Mode,700W,,,0,,,Standard,27,Fixture Spots,,,,,,Substitute with LED hybrid/beam,59.9lbs,,"24.81""","216.30""","-155.90""",0°,-90.0°,0.0°,89°,0°,No,0°,0°,No,0°,0°,38ec4ca0-6415-4028-8861-b23247b602ce,
Martin MAC Aura,11.4° - 59°,218W,,,0,,,Standard,14,Fixture Washes,,,,,,Substitute with any wash,12.3lbs,,"70.21""","204.13""","-155.90""",0°,-90.0°,-0.0°,0°,0°,No,0°,0°,No,0°,0°,e5653fbc-993d-4014-83c9-3f0952d9429c,
Elation SixPar 200,36°,150W,,,0,,,6 Channel,6,Fixture Warmers Flown,,,,,,Substitue with any LED par that fits in Christie type B truss,10.8lbs,,"8.05""","220.79""","-155.90""",0°,0°,75.0°,-270°,75°,No,,,No,,,5ef4c589-ff2f-4dda-b466-3c64c7bdde74,
Elation Smarty Max,Beam Mode,700W,,,0,,,Standard,27,Fixture Spots,,,,,,Substitute with LED hybrid/beam,59.9lbs,,"115.60""","191.97""","-155.90""",0°,-90.0°,0.0°,89°,0°,No,0°,0°,No,0°,0°,c39c410c-4126-44f3-b32d-f2dfb0baf453,
Martin MAC Aura,11.4° - 59°,218W,,,0,,,Standard,14,Fixture Washes,,,,,,Substitute with any wash,12.3lbs,,"161.00""","179.81""","-155.90""",0°,-90.0°,-0.0°,0°,0°,No,0°,0°,No,0°,0°,0c5d86ab-8c4c-427d-8ebc-9fdfe29bb020,
Elation SixPar 200,36°,150W,,,0,,,6 Channel,6,Fixture Warmers Flown,,,,,,Substitue with any LED par that fits in Christie type B truss,10.8lbs,,"98.85""","196.46""","-155.90""",0°,0°,75.0°,-270°,75°,No,,,No,,,f5efdb39-0797-4086-8d56-cc05ef56ab3c,
Elation Smarty Max,Beam Mode,700W,,,0,,,Standard,27,Fixture Spots,,,,,,Substitute with LED hybrid/beam,59.9lbs,,"206.40""","167.64""","-155.90""",0°,-90.0°,0.0°,89°,0°,No,0°,0°,No,0°,0°,7e17b7fc-f9dc-47a3-81c1-0c6b623d969e,
Martin MAC Aura,11.4° - 59°,218W,,,0,,,Standard,14,Fixture Washes,,,,,,Substitute with any wash,12.3lbs,,"251.80""","155.48""","-155.90""",0°,-90.0°,-0.0°,0°,0°,No,0°,0°,No,0°,0°,ba939135-da55-40a3-88a9-929780330756,
Elation SixPar 200,36°,150W,,,0,,,6 Channel,6,Fixture Warmers Flown,,,,,,Substitue with any LED par that fits in Christie type B truss,10.8lbs,,"189.65""","172.13""","-155.90""",0°,0°,75.0°,-270°,75°,No,,,No,,,f7075e75-8ab9-4b5e-b1d6-e8987b76a1bf,
Martin MAC Ultra Performance,8° - 54.1°,1380W,,,0,,,Basic 2.0.0,48,Fixture Profiles,,,,,,Substitute with any LED profile w/ framing shutters,96.9lbs,,"-276""","240""","432""",0°,0°,0°,0°,0°,No,0°,0°,No,0°,0°,85ed0650-5263-4e6a-86fd-da0fad24fe92,
ETC Source Four LED Series 3 26° Lustr X8,26,305W,,,0,,,Direct,12,Fixture Lekos,,,,,,Substitute with any elipsoidal,18.9lbs,,"-257""","157.84""","-99.40""",0°,10°,77°,79°,77°,No,,,No,,,7c342802-9f6f-4141-85ef-10b6775f5e53,
ETC Source Four LED Series 3 26° Lustr X8,26,305W,,,0,,,Direct,12,Fixture Lekos,,,,,,Substitute with any elipsoidal,18.9lbs,,"-257""","157.84""","6""",0°,20°,80.0°,69°,80°,No,,,No,,,751331a5-55df-4cbe-b56a-0c24c5cbd9c3,
ETC Source Four LED Series 3 26° Lustr X8,26,305W,,,0,,,Direct,12,Fixture Lekos,,,,,,Substitute with any elipsoidal,18.9lbs,,"257""","157.84""","-99.40""",0°,-10°,-77°,-79°,77°,No,,,No,,,8cf244b4-e747-45dd-91ca-9b123fe8b461,
ETC Source Four LED Series 3 26° Lustr X8,26,305W,,,0,,,Direct,12,Fixture Lekos,,,,,,Substitute with any elipsoidal,18.9lbs,,"257""","157.84""","6""",0°,-20°,-80.0°,-69°,80°,No,,,No,,,57754dbb-9f56-464e-bca2-88ff6b8662f3,
Martin MAC Ultra Performance,8° - 54.1°,1380W,,,0,,,Basic 2.0.0,48,Fixture Profiles,,,,,,Substitute with any LED profile w/ framing shutters,96.9lbs,,"276""","240""","432""",0°,0°,0°,0°,0°,No,0°,0°,No,0°,0°,0c49de0e-23e0-4f52-9b6b-a869ab50a2ad,
Martin MAC Ultra Performance,8° - 54.1°,1380W,,,0,,,Basic 2.0.0,48,Fixture Profiles,,,,,,Substitute with any LED profile w/ framing shutters,96.9lbs,,"106.15""","240""","432""",0°,0°,0°,0°,0°,No,0°,0°,No,0°,0°,8812d8a4-9f8e-4693-8afc-da7ee744a250,
Martin MAC Ultra Performance,8° - 54.1°,1380W,,,0,,,Basic 2.0.0,48,Fixture Profiles,,,,,,Substitute with any LED profile w/ framing shutters,96.9lbs,,"-106.15""","240""","432""",0°,0°,0°,0°,0°,No,0°,0°,No,0°,0°,10292458-2cbe-4584-8a50-0f7dc95a35fa,
ETC Source Four LED Series 3 19° Lustr X8,19,305W,,,0,,,Direct,12,Fixture Lekos,,,,,,Substitute with any elipsoidal,18.3lbs,,"-148.62""","228""","432""",80°,0°,0°,0°,80°,No,,,No,,,cd4c8f60-2ab4-48d0-907d-1db0c51f08bd,
ETC Source Four LED Series 3 19° Lustr X8,19,305W,,,0,,,Direct,12,Fixture Lekos,,,,,,Substitute with any elipsoidal,18.3lbs,,"-233.54""","228""","432""",80°,0°,0°,0°,80°,No,,,No,,,fcad3e3a-8d45-4b2c-a178-38abd9f5a4ab,
ETC Source Four LED Series 3 19° Lustr X8,19,305W,,,0,,,Direct,12,Fixture Lekos,,,,,,Substitute with any elipsoidal,18.3lbs,,"-191.08""","228""","432""",80°,0°,0°,0°,80°,No,,,No,,,27586d42-d535-41f6-abb3-b0a042dd97e1,
ETC Source Four LED Series 3 19° Lustr X8,19,305W,,,0,,,Direct,12,Fixture Lekos,,,,,,Substitute with any elipsoidal,18.3lbs,,"63.69""","228""","432""",80°,0°,0°,0°,80°,No,,,No,,,196ac26a-044b-4897-82a0-e70bbb248de9,
ETC Source Four LED Series 3 19° Lustr X8,19,305W,,,0,,,Direct,12,Fixture Lekos,,,,,,Substitute with any elipsoidal,18.3lbs,,"-63.69""","228""","432""",80°,0°,0°,0°,80°,No,,,No,,,4ba033db-9196-4f73-a532-13275a04f62f,
ETC Source Four LED Series 3 19° Lustr X8,19,305W,,,0,,,Direct,12,Fixture Lekos,,,,,,Substitute with any elipsoidal,18.3lbs,,"21.23""","228""","432""",80°,0°,0°,0°,80°,No,,,No,,,74d44f59-ca55-4790-aefd-5ddc9262c721,
